,tconst,primary_title,genres,numvotes,averagerating,start_year,runtime_minutes,Comedy,Action,Documentary,Sport,Musical,Animation,Romance,News,Game-Show,Fantasy,Horror,History,Biography,Drama,Music,Sci-Fi,Thriller,Adventure,Family,Crime,Western,Mystery,War
2,tt0069049,The Other Side of the Wind,['Drama'],4517,6.9,2018,122.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
16,tt0249516,Foodfight!,"['Action', 'Animation', 'Comedy']",8248,1.9,2012,91.0,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,tt0293069,Dark Blood,['Thriller'],1053,6.6,2012,86.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
31,tt0315642,Wazir,"['Action', 'Crime', 'Drama']",15378,7.1,2016,103.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
32,tt0323808,The Wicker Tree,"['Drama', 'Horror']",2328,3.9,2011,96.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
34,tt0326965,In My Sleep,"['Drama', 'Mystery', 'Thriller']",1889,5.5,2010,104.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
41,tt0337692,On the Road,"['Adventure', 'Drama', 'Romance']",37886,6.1,2012,124.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
44,tt0339736,The Evil Within,['Horror'],2420,5.6,2017,98.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
47,tt0359950,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama']",275300,7.3,2013,114.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
48,tt0360556,Fahrenheit 451,"['Drama', 'Sci-Fi', 'Thriller']",14469,4.9,2018,100.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
50,tt0365545,Nappily Ever After,"['Comedy', 'Drama', 'Romance']",6287,6.4,2018,98.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
51,tt0365907,A Walk Among the Tombstones,"['Action', 'Crime', 'Drama']",105116,6.5,2014,114.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
52,tt0369610,Jurassic World,"['Action', 'Adventure', 'Sci-Fi']",539338,7.0,2015,124.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
54,tt0376136,The Rum Diary,"['Comedy', 'Drama']",94787,6.2,2011,119.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
55,tt0376479,American Pastoral,"['Crime', 'Drama']",12898,6.1,2016,108.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
56,tt0377981,Gnomeo & Juliet,"['Adventure', 'Animation', 'Comedy']",49550,6.0,2011,84.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
58,tt0383010,The Three Stooges,"['Comedy', 'Family']",28570,5.1,2012,92.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
61,tt0398286,Tangled,"['Adventure', 'Animation', 'Comedy']",366366,7.8,2010,100.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
63,tt0401729,John Carter,"['Action', 'Adventure', 'Sci-Fi']",241792,6.6,2012,132.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
64,tt0403645,Burnt by the Sun 2,"['Drama', 'History', 'War']",3907,4.1,2010,181.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
65,tt0403935,Action Jackson,"['Action', 'Thriller']",2862,3.3,2014,144.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
66,tt0404978,Gambit,"['Comedy', 'Crime']",22148,5.7,2012,89.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
69,tt0409379,In Secret,"['Crime', 'Drama', 'Thriller']",7045,6.2,2013,107.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False
70,tt0409847,Cowboys & Aliens,"['Action', 'Sci-Fi', 'Thriller']",195889,6.0,2011,119.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
71,tt0411951,Tekken,"['Action', 'Crime', 'Drama']",24913,4.8,2010,87.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
75,tt0420293,The Stanford Prison Experiment,"['Biography', 'Drama', 'History']",32591,6.9,2015,122.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
80,tt0427152,Dinner for Schmucks,['Comedy'],91546,5.9,2010,114.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
82,tt0429493,The A-Team,"['Action', 'Adventure', 'Thriller']",235256,6.8,2010,117.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
84,tt0431021,The Possession,"['Horror', 'Mystery', 'Thriller']",53649,5.9,2012,92.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
86,tt0433035,Real Steel,"['Action', 'Drama', 'Family']",283534,7.1,2011,127.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
90,tt0435651,The Giver,"['Drama', 'Romance', 'Sci-Fi']",104999,6.5,2014,97.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
91,tt0435761,Toy Story 3,"['Adventure', 'Animation', 'Comedy']",682218,8.3,2010,103.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
94,tt0437086,Alita: Battle Angel,"['Action', 'Adventure', 'Sci-Fi']",88207,7.5,2019,122.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
98,tt0443272,Lincoln,"['Biography', 'Drama', 'History']",228701,7.4,2012,150.0,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
99,tt0443331,Milenge Milenge,"['Drama', 'Romance']",1571,4.1,2010,109.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
100,tt0443465,Before We Go,"['Comedy', 'Drama', 'Romance']",45181,6.8,2014,95.0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,tt0443533,The History of Love,"['Drama', 'Romance', 'War']",1024,6.3,2016,134.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
103,tt0445054,7 Days,"['Crime', 'Drama', 'Horror']",6705,6.5,2010,105.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
104,tt0446029,Scott Pilgrim vs. the World,"['Action', 'Comedy', 'Fantasy']",339338,7.5,2010,112.0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
107,tt0448022,A Bird of the Air,"['Drama', 'Romance']",1061,6.6,2011,108.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
108,tt0448115,Shazam!,"['Action', 'Adventure', 'Comedy']",109051,7.4,2019,132.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
109,tt0448694,Puss in Boots,"['Action', 'Adventure', 'Animation']",133355,6.6,2011,90.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
114,tt0451279,Wonder Woman,"['Action', 'Adventure', 'Fantasy']",487527,7.5,2017,141.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
117,tt0453562,42,"['Biography', 'Drama', 'Sport']",77703,7.5,2013,128.0,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
119,tt0454876,Life of Pi,"['Adventure', 'Drama', 'Fantasy']",535836,7.9,2012,127.0,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
120,tt0455323,Being Flynn,['Drama'],15780,6.4,2012,102.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
121,tt0455407,The Crazies,"['Horror', 'Thriller']",104465,6.5,2010,101.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
122,tt0455944,The Equalizer,"['Action', 'Crime', 'Thriller']",302302,7.2,2014,132.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
124,tt0458339,Captain America: The First Avenger,"['Action', 'Adventure', 'Sci-Fi']",668137,6.9,2011,124.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
