tconst,genre,roi,month,production_category
tt4283448,Sport,447.422252,6,large
tt0453562,Sport,214.42161612903226,4,medium
tt0964517,Sport,1075.1126181818179,12,medium
tt1130964,Sport,-93.19735,3,medium
tt1210166,Sport,122.60167,9,medium
tt1291584,Sport,-3.13846,9,medium
tt1323045,Sport,748.3132733333333,11,large
tt9121568,Sport,-100.0,12,small
tt4623856,Sport,-99.47248333333332,11,medium
tt1407061,Sport,82.23054166666667,5,medium
tt1606829,Sport,-37.1112,9,small
tt1620935,Sport,-58.725462500000006,11,medium
tt1629757,Sport,-58.495895,10,medium
tt3076658,Sport,369.1015702702703,11,medium
tt2123342,Sport,-44.29404,8,small
tt1647668,Sport,56.87164799999999,5,medium
tt1648179,Sport,74.37918571428571,10,medium
tt1661382,Sport,74.51815,12,medium
tt1669617,Sport,138.32958333333335,4,small
tt2051894,Sport,138.32958333333335,4,small
tt3802576,Sport,37.359138461538464,8,medium
tt1798684,Sport,213.8548533333333,7,medium
tt1809398,Sport,151.58126769230768,12,medium
tt3499096,Sport,374.91544,2,medium
tt3779570,Sport,-69.76051052631578,9,medium
tt1934172,Sport,-100.0,9,small
tt2009606,Sport,-74.56277142857142,12,small
tt2020110,Sport,-98.83937142857144,12,small
tt2058673,Sport,26.704590999999997,12,medium
tt2083383,Sport,-20.301811666666666,9,medium
tt2097298,Sport,168.87014117647058,2,medium
tt2223990,Sport,19.38992,4,medium
tt2247476,Sport,100.92608,8,medium
tt3322364,Sport,43.89654285714285,12,medium
tt2304459,Sport,-45.08150000000001,10,small
tt4832640,Sport,563.5434636363636,7,medium
tt2660118,Sport,5479.29612,1,medium
tt6147768,Sport,5479.29612,1,medium
tt2814362,Sport,-99.43722666666666,6,medium
tt2950418,Sport,-77.77674444444446,8,medium
tt3152288,Sport,-100.0,12,small
tt3719896,Sport,-88.77000000000002,11,medium
tt3859304,Sport,-82.40525714285717,3,small
tt7130472,Sport,-70.71082666666669,9,medium
tt4183692,Sport,10.797715384615383,10,medium
tt4341582,Sport,-32.96346,9,medium
tt6333060,Sport,-100.0,2,medium
tt6343314,Sport,327.183044,11,medium
tt7334528,Sport,158.48422777777782,6,medium
tt0369610,Sci-Fi,666.9092390697674,6,large
tt0401729,Sci-Fi,2.8284,3,large
tt0435651,Sci-Fi,166.16082,8,medium
tt0437086,Sci-Fi,137.0447270588235,2,large
tt4028068,Sci-Fi,447.422252,6,large
