primary_title,tconst
foodfight!,tt0249516
on the road,tt0337692
on the road,tt4339118
on the road,tt5647250
the secret life of walter mitty,tt0359950
a walk among the tombstones,tt0365907
jurassic world,tt0369610
the rum diary,tt0376136
the three stooges,tt0383010
anderson's cross,tt0393049
tangled,tt0398286
john carter,tt0401729
dinner for schmucks,tt0427152
the a-team,tt0429493
the possession,tt0431021
real steel,tt0433035
the giver,tt0435651
toy story 3,tt0435761
alita: battle angel,tt0437086
lincoln,tt0443272
before we go,tt0443465
before we go,tt4453750
the history of love,tt0443533
scott pilgrim vs. the world,tt0446029
shazam!,tt0448115
puss in boots,tt0448694
wonder woman,tt0451279
wonder woman,tt4028068
wonder woman,tt4283448
42,tt0453562
life of pi,tt0454876
the crazies,tt0455407
the equalizer,tt0455944
captain america: the first avenger,tt0458339
sin city: a dame to kill for,tt0458481
house at the end of the drive,tt0464054
piranha 3d,tt0464154
margaret,tt0466893
ex machina,tt0470752
tower heist,tt0471042
the smurfs,tt0472181
the mechanic,tt0472399
"hail, caesar!",tt0475290
unstoppable,tt0477080
unstoppable,tt3070502
unstoppable,tt9225192
unstoppable,tt9906218
the tree of life,tt0478304
ant-man,tt0478970
season of the witch,tt0479997
the losers,tt0480255
the losers,tt3746918
hall pass,tt0480687
the croods,tt0481499
barry munday,tt0482461
red tails,tt0485985
silence,tt0490215
silence,tt1731755
silence,tt2275949
silence,tt3425108
something borrowed,tt0491152
tulip fever,tt0491203
furry vengeance,tt0492389
chips,tt0493405
chips,tt2011351
ramona and beezus,tt0493949
rings,tt0498381
a thousand words,tt0763831
escape from planet earth,tt0765446
what's your number?,tt0770703
samsara,tt0770802
man of steel,tt0770828
drive,tt0780504
drive,tt1709105
the wolfman,tt0780653
the boxtrolls,tt0787474
the man who knew infinity,tt0787524
the incredible burt wonderstone,tt0790628
dallas buyers club,tt0790636
jack reacher,tt0790724
r.i.p.d.,tt0790736
clash of the titans,tt0800320
thor,tt0800369
red dog,tt0803061
red dog,tt4706780
warcraft,tt0803096
it's kind of a funny story,tt0804497
the mule,tt0804509
the mule,tt2130270
the mule,tt7959026
tooth fairy,tt0808510
tooth fairy,tt7906260
jack and jill,tt0810913
take me home tonight,tt0810922
percy jackson & the olympians: the lightning thief,tt0814255
she's out of my league,tt0815236
the book thief,tt0816442
