tconst,genres,numvotes,averagerating,start_year,runtime_minutes,Adult,Sport,Sci-Fi,Fantasy,News,Western,Thriller,Family,Game-Show,Mystery,Music,Reality-TV,Animation,Drama,Adventure,Romance,History,Horror,War,Short,Biography,Documentary,Crime,Musical,Comedy,Action,release_date,movie,production_budget,domestic_gross,worldwide_gross,year,month,roi
tt0249516,"['Action', 'Animation', 'Comedy']",8248,1.9,2012,91.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,2012-12-31,foodfight!,45000000.0,$0,73706.0,2012,12,-99.83620888888889
tt0337692,"['Adventure', 'Drama', 'Romance']",37886,6.1,2012,124.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,2013-03-22,on the road,25000000.0,"$720,828",9313302.0,2013,3,-62.746792
tt4339118,['Drama'],6,6.0,2014,89.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013-03-22,on the road,25000000.0,"$720,828",9313302.0,2013,3,-62.746792
tt5647250,['Drama'],127,5.7,2016,121.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2013-03-22,on the road,25000000.0,"$720,828",9313302.0,2013,3,-62.746792
tt0359950,"['Adventure', 'Comedy', 'Drama']",275300,7.3,2013,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,2013-12-25,the secret life of walter mitty,91000000.0,"$58,236,838",187861183.0,2013,12,106.44086043956045
tt0365907,"['Action', 'Crime', 'Drama']",105116,6.5,2014,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,2014-09-19,a walk among the tombstones,28000000.0,"$26,017,685",62108587.0,2014,9,121.81638214285715
tt0369610,"['Action', 'Adventure', 'Sci-Fi']",539338,7.0,2015,124.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2015-06-12,jurassic world,215000000.0,"$652,270,625",1648854864.0,2015,6,666.9092390697674
tt0376136,"['Comedy', 'Drama']",94787,6.2,2011,119.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2011-10-28,the rum diary,45000000.0,"$13,109,815",21544732.0,2011,10,-52.122817777777776
tt0383010,"['Comedy', 'Family']",28570,5.1,2012,92.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2012-04-13,the three stooges,30000000.0,"$44,338,224",54052249.0,2012,4,80.17416333333334
tt0393049,"['Comedy', 'Drama', 'Romance']",106,5.5,2010,98.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,2010-12-31,anderson's cross,300000.0,$0,0.0,2010,12,-100.0
tt0398286,"['Adventure', 'Animation', 'Comedy']",366366,7.8,2010,100.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,2010-11-24,tangled,260000000.0,"$200,821,936",586477240.0,2010,11,125.56816923076923
tt0401729,"['Action', 'Adventure', 'Sci-Fi']",241792,6.6,2012,132.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2012-03-09,john carter,275000000.0,"$73,058,679",282778100.0,2012,3,2.8284
tt0427152,['Comedy'],91546,5.9,2010,114.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2010-07-30,dinner for schmucks,69000000.0,"$73,026,337",86796502.0,2010,7,25.79203188405797
tt0429493,"['Action', 'Adventure', 'Thriller']",235256,6.8,2010,117.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2010-06-11,the a-team,110000000.0,"$77,222,099",177241171.0,2010,6,61.12833727272727
